Private,Apps,Accept,Enroll,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Elite
Yes,1660,1232,721,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,No
Yes,2186,1924,512,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,No
Yes,1428,1097,336,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,No
Yes,417,349,137,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,Yes
Yes,193,146,55,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,No
Yes,587,479,158,678,41,13500,3335,500,675,67,73,9.4,11,9727,55,No
Yes,353,340,103,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,No
Yes,1899,1720,489,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,No
Yes,1038,839,227,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,No
Yes,582,498,172,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52,No
Yes,1732,1425,472,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73,No
Yes,2652,1900,484,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,No
Yes,1179,780,290,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74,No
Yes,1267,1080,385,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,No
Yes,494,313,157,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55,No
Yes,1420,1093,220,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69,No
Yes,4302,992,418,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,Yes
Yes,1216,908,423,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59,No
Yes,1130,704,322,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,No
No,3540,2001,1016,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34,No
Yes,713,661,252,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48,No
No,7313,4664,1910,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,No
Yes,619,516,219,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65,No
No,12809,10308,3761,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48,No
Yes,708,334,166,530,182,8644,3922,500,800,79,88,12.6,24,14579,54,No
No,1734,1729,951,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,No
Yes,2135,1700,491,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,No
No,7548,6791,3070,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,No
Yes,662,513,257,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58,No
Yes,1879,1658,497,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71,No
Yes,761,725,306,1337,300,10990,3244,600,1021,66,70,10.4,30,6871,69,No
Yes,948,798,295,1120,15,11280,4342,400,1150,81,95,13,33,11361,71,No
Yes,627,556,172,777,538,9925,4135,750,1350,59,67,22.4,11,6523,48,No
Yes,602,483,206,958,466,8620,4100,400,2250,58,68,11,21,6136,65,No
Yes,1690,1366,662,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85,No
Yes,261,192,111,453,266,9690,4300,500,500,57,77,9.7,35,9337,71,No
Yes,1910,838,285,1004,15,19264,6206,750,750,98,98,10.4,30,13894,79,No
Yes,2496,1402,531,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,Yes
Yes,990,784,279,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,No
Yes,6075,5349,2367,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,No
Yes,1163,850,348,878,519,12850,5400,400,800,78,89,12.2,30,8954,73,No
Yes,807,707,308,1198,605,8840,2950,750,1290,74,82,13.1,31,6668,84,No
Yes,632,494,129,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52,No
Yes,1220,974,481,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,No
Yes,1320,923,284,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,No
No,1208,877,546,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46,No
Yes,632,620,222,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,No
Yes,519,327,114,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,No
Yes,3466,2330,640,3095,1533,13800,5510,630,850,87,87,17.5,20,10941,82,No
Yes,1858,1221,480,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,No
Yes,878,816,200,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,No
Yes,202,184,122,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56,No
Yes,502,384,104,347,74,6200,2900,600,800,63,63,11.7,13,7623,35,No
Yes,1646,1150,542,2128,82,5188,3396,650,2500,48,48,13.8,9,6817,58,No
Yes,805,588,287,1376,207,11660,4325,400,900,74,79,14,34,8649,72,Yes
Yes,500,336,156,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51,No
No,6773,3028,1025,5847,946,7844,2948,500,1680,66,68,18,19,7041,75,No
Yes,377,358,181,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53,No
Yes,692,514,209,760,81,9900,3990,400,900,76,71,13.3,19,9073,58,No
Yes,20192,13007,3810,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,No
Yes,3356,1019,418,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,Yes
No,9251,7333,3076,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,No
Yes,443,330,151,453,42,14080,6270,500,900,57,80,10.2,21,15387,46,No
Yes,3767,3414,1061,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,No
Yes,4186,2743,740,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,No
Yes,367,274,158,917,479,9592,5879,500,700,71,80,13.7,12,5935,49,No
Yes,1436,1228,1202,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18,No
Yes,392,351,155,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58,No
Yes,838,673,292,881,55,10265,4725,560,875,68,73,13.2,24,8655,82,No
Yes,7365,5402,4615,27378,1253,2340,3580,860,1220,76,76,20.5,40,7916,33,No
Yes,12586,3239,1462,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,Yes
Yes,1465,810,313,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89,Yes
Yes,6548,3813,862,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,No
Yes,860,688,285,1928,442,13306,3797,450,950,62,69,8.8,10,6333,78,No
Yes,2362,2037,700,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83,No
Yes,599,494,224,1035,446,10518,6250,300,300,59,76,16.5,36,7117,71,No
Yes,1011,604,213,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55,No
Yes,563,247,247,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60,No
No,7811,3817,1650,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,No
No,4540,3294,1483,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61,No
Yes,1784,1512,913,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,No
Yes,2087,1339,657,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,No
Yes,848,587,298,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49,No
Yes,2853,2193,753,2978,434,10750,5340,400,1130,90,92,14.6,26,7972,64,No
Yes,1747,1382,449,1662,960,13050,4000,500,800,64,69,12.1,27,9557,83,No
Yes,100,90,35,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52,No
Yes,2694,1579,489,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,Yes
Yes,8728,5201,1191,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,Yes
Yes,1160,991,352,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,No
Yes,1096,951,464,1776,239,8150,3150,400,500,61,62,13.6,16,6716,67,No
Yes,1616,1427,434,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,No
Yes,3877,3156,713,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,Yes
No,1257,940,363,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79,No
Yes,1083,880,291,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,No
Yes,1754,1465,505,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75,No
Yes,776,607,198,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74,No
Yes,1307,1090,616,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64,No
Yes,369,312,90,396,526,11400,5400,500,760,41,85,9.5,20,9583,24,No
Yes,495,434,210,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,No
Yes,601,396,203,525,323,11230,6643,2340,620,8,58,6.8,4,13025,47,No
Yes,1283,1113,401,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,No
No,4158,2532,902,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,No
No,4681,4101,1436,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,50,No
No,2785,2011,1007,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51,No
Yes,174,146,88,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58,No
Yes,1013,888,288,943,7,11850,4270,600,900,95,99,11.4,60,13118,74,Yes
Yes,959,771,351,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47,No
Yes,212,197,91,471,148,13500,5230,400,850,95,98,9.3,37,16095,52,No
Yes,342,254,126,518,232,10335,5015,700,850,71,71,8.3,29,7729,73,No
Yes,81,72,51,139,3,8730,3600,400,800,92,92,9.3,17,10922,58,No
Yes,880,520,224,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,No
No,883,766,428,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,No
Yes,1196,697,499,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21,No
Yes,1860,767,227,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,Yes
Yes,2887,2059,457,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,No
Yes,460,340,167,604,350,10740,3676,350,900,67,71,11,27,7963,74,No
Yes,2174,1953,557,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,No
No,8065,5257,2301,11755,770,8116,3610,800,1618,82,88,18,17,7597,73,No
No,689,561,250,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46,No
Yes,1006,742,275,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,No
Yes,604,452,295,690,222,9888,4502,400,1000,64,77,12.1,39,8741,75,No
Yes,2848,1319,456,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,Yes
Yes,4856,2492,727,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,No
Yes,1432,888,317,1121,493,10860,5760,550,900,56,62,12.9,23,8604,96,No
No,4772,3140,1265,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,No
Yes,798,620,238,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100,No
Yes,946,648,177,707,432,11790,5770,500,1000,75,77,11.9,35,10015,83,No
Yes,344,264,97,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43,No
Yes,457,356,177,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75,No
Yes,938,864,511,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72,No
Yes,511,411,186,1692,562,12224,4440,450,1000,63,87,11.5,32,7315,77,No
Yes,444,359,122,493,968,10900,5250,380,1000,68,70,11.4,23,9447,78,No
Yes,983,664,249,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64,No
Yes,546,447,189,873,683,11138,4138,600,1200,40,74,14,7,8820,80,No
Yes,141,118,55,201,173,8300,4850,450,1300,53,53,9.5,19,6936,76,No
Yes,672,596,278,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72,No
Yes,2994,1691,659,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,Yes
No,7117,3106,1217,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,Yes
Yes,2100,1883,553,1704,1,16240,4690,500,500,84,96,11.1,43,14140,69,No
Yes,3207,1577,490,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,Yes
No,9478,6312,2194,15646,1829,8412,4180,470,1800,87,89,19.2,10,7850,59,No
Yes,314,158,132,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37,No
Yes,737,614,242,968,237,10425,3975,500,1500,61,77,14.7,34,8693,76,No
Yes,6756,1930,871,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99,Yes
Yes,281,266,139,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45,No
Yes,232,216,106,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42,No
Yes,688,497,144,641,101,10800,4440,570,1515,55,60,13.1,13,8415,55,No
Yes,528,403,186,1168,145,9216,4191,400,1000,56,64,12.1,13,7309,75,No
Yes,3035,1546,438,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,No
Yes,440,407,149,643,80,12050,3700,500,900,63,76,10.2,31,10965,75,No
Yes,1538,1329,383,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64,No
Yes,2967,2836,876,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,No
Yes,1576,1110,274,992,112,8000,3700,400,500,51,52,14.1,28,5807,51,No
Yes,995,789,398,1306,122,6230,3526,400,600,42,44,13,4,8189,63,No
Yes,866,619,157,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46,No
Yes,504,482,185,550,84,9130,3322,450,1450,46,51,12.6,25,8686,54,No
Yes,585,508,153,460,536,12292,4934,500,500,61,61,22.2,10,8643,72,No
Yes,8587,2273,1087,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,Yes
Yes,2373,956,452,1601,6,17295,5070,600,1011,95,97,12,46,17581,94,Yes
Yes,571,461,174,645,283,10850,3670,400,1159,58,60,12.8,19,7505,56,No
No,967,945,459,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,No
Yes,2762,2279,533,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,No
Yes,1994,1656,495,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,No
Yes,3014,2539,487,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,No
No,434,412,319,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,No
Yes,1998,1376,651,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,No
Yes,793,709,244,1022,411,9570,3000,400,1000,67,72,15.1,42,6852,60,No
Yes,360,329,108,756,863,8310,5500,600,1800,43,43,12.7,5,5480,54,No
Yes,604,562,328,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,No
Yes,1011,829,410,1059,2458,9000,3100,450,1413,77,78,12.4,7,11178,42,No
Yes,2799,2573,839,3322,726,13420,4770,560,1675,88,93,15,24,9473,77,No
Yes,2153,1580,321,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,Yes
Yes,700,650,314,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67,No
Yes,13789,3893,1583,6188,53,18590,5950,625,1162,95,96,5,44,27206,97,Yes
Yes,1358,1006,274,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,No
No,9274,6362,2435,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,No
No,3330,2730,1303,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42,No
Yes,379,341,265,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38,No
Yes,458,369,165,1057,355,11190,4800,450,1230,60,60,13.6,22,8135,54,No
No,2172,1493,564,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,No
No,5597,4253,1565,9161,845,5710,3066,120,1730,62,71,16.2,5,5682,76,No
Yes,486,440,227,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82,No
Yes,516,409,200,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70,No
Yes,1422,1109,366,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,No
Yes,2417,1843,426,1476,299,14190,4400,500,750,65,68,12.8,25,9815,81,No
Yes,1457,1045,345,1109,502,14990,4980,450,550,77,98,21.5,21,7502,64,No
Yes,245,208,125,544,436,11800,4765,450,1700,71,71,11.3,21,8952,86,No
Yes,3624,2786,858,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63,No
Yes,3151,2584,958,4772,856,7800,3750,570,3020,37,43,16.5,4,12878,44,No
Yes,765,646,226,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,No
Yes,8506,4168,1236,5544,192,17600,6000,600,870,97,98,5,28,28457,96,Yes
No,1256,1256,853,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,No
Yes,659,557,167,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,No
Yes,560,454,113,484,16,10955,3450,330,670,62,87,10.6,31,9552,53,No
No,1801,1101,438,3065,363,6297,4600,600,1323,75,78,18.1,14,8355,68,No
Yes,4784,3346,781,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,No
No,1455,1064,452,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,No
Yes,1339,1107,336,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,No
Yes,1415,714,338,1345,44,5120,3200,500,2140,52,60,18.1,9,3930,69,No
Yes,1947,1580,523,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,No
No,3306,2079,1071,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,No
Yes,1381,1040,374,1506,970,8025,4865,400,650,65,74,17.4,10,6339,68,No
No,11651,8683,3023,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58,No
Yes,291,245,126,981,337,8390,4100,350,1500,45,55,21.5,24,4607,62,No
Yes,4200,2874,942,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80,No
No,3440,2823,1123,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46,No
No,1801,1655,819,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,No
Yes,553,452,228,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83,No
Yes,804,632,281,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60,No
Yes,5187,4471,446,1818,1197,13320,4630,500,800,50,56,17.6,16,6418,51,No
Yes,895,548,314,1174,50,5500,3340,600,1600,68,76,16.1,13,6078,62,No
Yes,346,274,146,704,63,9900,3670,630,1818,59,59,10.5,14,8095,54,Yes
Yes,2161,1951,685,2371,175,13440,4048,600,1250,92,95,13.5,28,12940,82,Yes
Yes,2464,1908,678,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,No
Yes,1110,930,332,1603,374,8180,4270,500,500,65,58,15.2,12,5664,29,No
Yes,668,534,237,1306,258,9476,4820,500,1100,67,67,20.1,26,6786,74,No
Yes,809,726,294,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52,No
No,5653,4326,1727,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46,No
Yes,7875,5062,1492,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72,No
Yes,727,693,286,1063,48,8100,3950,550,550,73,76,13.3,28,7508,55,No
Yes,11115,2881,1390,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95,Yes
No,7837,4527,2276,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70,Yes
No,3793,2341,1238,7732,9054,6744,2655,720,3450,87,89,19,10,7762,34,No
Yes,348,281,127,1095,785,9150,3950,500,800,56,59,12.2,27,7348,76,No
Yes,3596,2466,575,1944,46,19964,4328,500,500,94,95,12.1,32,14720,83,No
Yes,633,468,284,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36,No
Yes,1886,1524,526,2523,296,13000,4450,600,2400,78,90,14.7,32,9553,69,No
Yes,674,565,282,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66,No
Yes,440,396,221,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,No
Yes,1151,813,248,850,80,15588,6174,500,1200,78,90,9.2,34,16623,77,No
Yes,548,428,167,618,113,8958,3670,300,1000,53,59,15.3,26,9798,64,No
Yes,555,414,242,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47,No
No,5165,3887,1561,8234,2619,6108,3800,500,1000,64,66,20.6,9,5063,57,No
Yes,780,628,198,545,42,11750,2700,400,850,77,83,14,24,6475,76,No
Yes,608,494,176,649,314,8330,3770,550,1300,64,80,13,31,7949,39,No
Yes,510,387,194,771,53,10310,4530,400,800,57,61,14.3,16,8222,60,No
Yes,2039,1389,432,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83,Yes
Yes,2491,1110,573,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,Yes
Yes,1202,1054,326,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,No
Yes,1709,1385,634,2281,50,14125,3600,400,700,79,89,12.5,58,9907,80,No
Yes,380,237,104,716,1108,11000,5550,500,500,36,41,7.8,22,7483,96,No
Yes,3140,1783,454,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,No
Yes,1006,825,328,1362,102,13252,4194,450,550,89,93,13,33,10296,65,No
Yes,817,644,307,945,1,13218,4773,660,600,95,97,13.3,53,12263,69,No
Yes,7178,3755,1433,4623,740,7161,3518,600,2000,60,64,14,9,6791,70,No
Yes,1006,837,317,1024,15,8200,3485,500,1200,84,84,10.6,26,9248,64,No
Yes,467,424,350,1365,334,6300,2980,700,2140,75,79,13.7,10,7054,38,No
Yes,1721,1068,806,3128,213,5504,3528,700,910,71,77,17.7,37,6466,73,No
Yes,2083,1725,430,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,No
Yes,13865,2165,1606,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100,Yes
Yes,1377,572,178,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,Yes
Yes,817,708,262,935,37,9376,3272,500,1902,57,63,13,17,7335,52,No
Yes,823,721,274,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,Yes
Yes,920,745,347,1133,42,11090,4700,400,750,80,80,12,31,12639,79,No
Yes,922,729,244,1000,275,14067,4560,400,1000,75,95,10.6,34,12165,79,No
Yes,2688,2081,500,1792,5,19029,5841,600,600,99,99,12.1,37,13040,79,No
Yes,7428,5860,1349,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60,No
Yes,602,498,215,795,74,13470,5515,500,850,78,91,11.1,48,13957,72,No
