Private,Apps,Accept,Enroll,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Elite
Yes,699,565,176,710,399,13960,6040,450,690,82,88,14.4,34,12434,72,No
Yes,1712,1483,624,2505,208,12275,4341,465,1100,72,81,12.5,40,9284,72,No
Yes,949,786,302,1210,26,9990,3550,500,1500,85,90,15,24,8187,67,No
Yes,608,520,127,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44,No
Yes,450,430,125,488,43,9950,3920,300,1300,76,76,11.8,25,9466,47,No
Yes,600,197,124,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21,No
Yes,723,652,361,951,706,7800,4000,350,1500,36,44,22,4,4923,84,No
Yes,607,558,269,1222,519,10500,4348,650,1500,81,91,11.6,29,8324,75,No
Yes,894,787,262,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52,No
Yes,1756,1360,478,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56,No
No,8681,6695,2408,15701,1823,7799,3403,537,2605,77,84,21,16,5569,54,No
Yes,3050,1342,471,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,Yes
Yes,268,253,103,494,1305,10000,5364,500,1000,56,64,11.2,33,7305,69,No
Yes,1163,927,386,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95,No
No,5659,4761,3147,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,No
No,16587,13243,5873,24763,2717,9766,3990,600,2000,77,88,21.3,24,8686,68,No
Yes,735,423,366,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34,No
Yes,4892,3530,913,3906,1446,10690,6790,570,1150,66,83,16,14,8107,66,No
No,8427,7424,3441,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,No
Yes,7259,5526,1368,5612,166,14424,6192,634,1000,58,79,11.5,25,9812,75,No
No,11223,5285,2082,9652,742,7994,4544,500,732,77,81,17.9,29,5212,98,No
Yes,472,410,262,9950,71,7620,3050,400,400,51,53,17,21,3186,54,No
No,2957,1423,691,3817,1394,3946,4800,400,1500,63,67,14.9,10,8367,26,No
Yes,605,405,284,961,99,6398,3672,400,1350,68,68,13.3,19,8118,75,No
Yes,2421,2109,820,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89,No
Yes,8474,3446,911,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,Yes
No,833,669,279,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36,No
Yes,313,228,137,552,67,9414,4554,500,1700,34,55,10.6,30,7840,56,No
Yes,1005,859,298,1075,43,14850,4460,450,420,97,97,12.7,37,12067,80,No
No,5880,4075,2833,14914,2246,6995,3120,600,2000,76,86,18.5,22,6122,54,No
Yes,589,575,148,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,No
No,3121,2446,822,3480,776,7870,4157,500,1150,73,73,16.1,13,6195,61,No
Yes,584,497,175,662,121,8000,4150,500,1300,57,65,11.3,32,7058,62,No
Yes,2212,1538,408,1445,1,19240,3690,750,480,95,95,11.1,46,14067,88,No
Yes,461,381,174,738,55,9600,4550,600,750,55,94,13.3,43,7863,51,No
Yes,1456,1053,381,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87,No
Yes,355,300,142,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65,No
Yes,1040,845,286,967,24,15747,4062,400,800,88,95,12.7,33,13224,79,No
Yes,361,321,185,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52,No
Yes,2929,1834,622,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84,No
Yes,4010,2402,572,2018,226,18730,5740,600,1000,93,96,10.5,38,15365,92,No
Yes,544,399,177,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75,No
Yes,979,638,271,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77,No
Yes,497,452,231,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57,No
No,2336,1725,1043,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26,No
Yes,831,538,224,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60,No
No,1166,1009,510,2074,341,4938,2987,528,1702,67,77,17,11,6119,51,No
Yes,1243,947,324,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77,No
Yes,1470,1199,425,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94,No
Yes,1386,1060,320,965,502,13850,4755,400,1125,84,84,12.3,30,8196,85,No
Yes,6397,4304,1092,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,No
Yes,979,743,259,1188,166,10100,4000,400,1000,88,92,12,20,8539,66,No
Yes,244,198,82,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58,No
Yes,477,417,204,1532,77,8840,4240,600,1400,58,70,20.8,23,6863,56,No
Yes,2774,2092,482,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69,No
Yes,1154,1050,395,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61,No
Yes,787,562,363,925,605,5950,2890,600,1300,67,72,14.6,35,5177,53,No
No,1660,1091,326,1196,33,4818,3400,350,1400,71,72,12.6,8,10912,45,No
Yes,810,484,356,2155,191,9200,4800,1000,4200,65,85,24.1,9,3480,100,No
Yes,1561,1188,458,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81,No
Yes,900,473,217,621,11,4400,3400,800,900,53,93,10.4,16,9268,92,No
No,3570,2215,651,3390,325,7352,3620,225,500,47,55,16.1,14,6374,63,No
No,2747,1870,724,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62,No
Yes,1641,1283,527,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70,No
Yes,2013,1053,212,912,158,5150,3036,500,1655,64,74,10.5,11,7547,59,No
No,5996,4993,3079,16269,3757,5925,2980,600,2242,83,87,15.9,11,6741,37,No
No,2397,2144,1525,6720,1822,3957,2325,618,1656,66,77,20,13,4546,45,No
Yes,4076,3137,738,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80,No
Yes,3768,2662,753,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84,No
Yes,1891,1698,719,2740,761,11100,5870,600,750,77,88,11.7,14,9456,53,No
Yes,3579,2959,868,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65,No
Yes,1549,1392,587,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77,No
Yes,1286,1005,363,1363,74,13900,4300,500,900,75,81,14,32,8024,72,No
Yes,1756,1500,366,1524,280,12450,5400,450,870,62,66,12.4,24,8832,70,No
No,535,502,223,959,150,7320,4640,500,600,48,65,12.6,15,7114,51,No
Yes,2939,1496,452,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77,Yes
Yes,740,558,177,628,63,9620,3750,550,950,49,55,10.8,33,10642,59,No
Yes,874,758,428,1605,246,9858,3700,450,1200,42,45,17.6,16,4796,55,No
Yes,1004,802,239,909,51,10440,3850,525,1450,63,72,11.8,20,7940,64,No
Yes,2432,1730,563,2578,254,12370,6800,500,1800,92,92,13.6,25,10062,79,No
Yes,962,750,212,830,150,14700,6550,450,400,97,97,11.3,24,11291,70,No
No,3073,2672,1547,9649,1792,4300,2643,450,1660,57,68,19,11,5801,68,No
Yes,824,670,337,1160,653,9400,3400,500,1100,37,37,8.4,21,5352,59,No
Yes,1611,960,342,1089,210,13850,3920,470,810,80,97,13.2,30,10223,96,No
Yes,4731,3171,830,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69,No
Yes,5152,4600,1685,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77,No
Yes,4226,3666,2007,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50,No
Yes,499,441,199,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90,No
No,4350,2178,756,2997,736,6490,4942,650,2102,75,80,17.6,30,5358,84,No
Yes,478,327,117,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77,No
Yes,695,535,239,988,785,10200,7000,350,1100,63,76,11.7,20,10622,68,No
Yes,941,772,214,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55,No
Yes,1464,888,176,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51,No
Yes,549,397,169,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61,No
Yes,1107,859,323,1452,402,11040,4500,600,700,65,76,11.8,30,9034,66,No
Yes,6411,2140,1078,4481,28,20100,5975,725,1600,99,99,10.1,35,33541,94,Yes
No,233,233,153,658,58,4486,2516,600,1900,68,68,15.7,11,6971,51,No
Yes,1002,555,119,836,684,7680,3740,500,800,70,74,17.7,21,6652,52,No
Yes,578,411,187,880,477,6930,3452,400,1525,57,64,11,11,6383,32,No
Yes,420,293,93,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48,No
Yes,2286,1668,564,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91,No
Yes,1557,1074,397,1805,433,9813,4050,425,1000,45,63,16.7,29,7307,78,No
Yes,857,772,376,1721,470,6720,3250,450,1520,77,82,13.9,33,6881,82,No
Yes,1981,1541,514,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80,No
No,1584,1456,891,3471,911,5016,3798,540,2256,48,48,28.8,12,3871,59,No
Yes,1742,1382,607,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89,No
No,9239,7788,3290,13606,807,8856,3960,500,1382,81,89,17.6,20,7846,85,No
No,18114,15096,6180,26640,4120,10658,3734,504,600,93,95,14,9,10520,71,No
No,2618,2288,1032,5524,414,8127,3978,900,1200,82,82,17,25,7473,65,No
Yes,331,331,225,1100,166,6840,3720,1100,4913,33,33,15.4,20,5524,49,No
No,6011,3075,960,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71,No
Yes,610,461,189,685,49,8200,3300,550,1000,63,69,12,16,8128,64,No
Yes,1444,1261,456,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75,No
Yes,905,834,319,1073,179,11320,4402,550,1350,82,89,12.7,38,11218,58,No
Yes,1217,1088,496,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67,No
Yes,594,385,307,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61,No
No,4255,3277,1609,10094,1621,9866,3084,480,1479,77,77,15.9,20,6223,53,No
No,480,405,380,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63,No
No,1576,1326,913,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100,No
Yes,1310,983,316,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27,No
Yes,601,503,204,671,11,13000,4100,400,460,91,91,11.6,43,11087,56,No
Yes,2707,1881,478,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54,No
No,572,544,320,1470,416,6073,3400,550,1400,71,71,16.4,31,6112,74,No
No,3500,2836,1779,8730,993,5552,3710,550,2300,75,83,17.6,8,6324,37,No
No,5220,2128,865,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58,No
Yes,263,223,103,316,20,8438,3372,500,2958,42,50,11.1,4,11989,15,No
No,2442,2164,1189,5983,1075,4426,2664,600,1000,76,81,18.1,19,4795,60,No
Yes,1232,955,303,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74,No
Yes,3708,1678,722,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83,No
Yes,586,533,239,950,228,10520,3678,500,1000,48,68,13,32,8111,56,No
Yes,882,730,330,926,12,4515,2550,850,2100,53,60,18.6,34,6990,60,No
Yes,1800,1314,526,1891,40,19300,5700,750,750,79,91,9,51,18359,84,No
Yes,279,276,126,600,435,6844,2980,500,500,45,55,11.7,38,5073,44,No
Yes,235,217,121,931,487,8950,3119,550,1125,51,51,10.7,26,7016,78,No
Yes,368,317,159,806,542,10500,3555,500,2285,44,50,11.3,30,6695,64,No
Yes,325,284,95,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21,No
Yes,1321,1159,328,1243,79,12850,6200,550,900,77,82,12.8,36,8536,80,No
Yes,1170,695,238,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88,No
Yes,657,537,113,1039,466,12474,5678,630,1278,53,71,11.9,19,10613,72,No
Yes,1310,1086,458,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81,No
Yes,510,485,334,1114,94,7400,3346,600,600,57,57,19.8,7,6869,58,No
Yes,2519,1836,462,1656,352,16975,4565,600,850,76,86,12.8,39,10888,83,No
No,2225,1910,1190,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52,No
Yes,1109,922,375,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73,No
Yes,513,347,279,2508,505,9090,4500,650,500,62,65,18.3,2,7905,71,No
Yes,947,798,266,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61,No
No,1879,1216,483,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72,No
No,787,601,233,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34,No
Yes,13594,7244,2505,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71,Yes
Yes,872,722,154,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83,No
Yes,2220,1796,467,1919,334,10320,4762,450,650,68,100,14.2,20,7788,65,Yes
No,1563,1005,240,1380,136,5542,4330,500,1000,65,71,14.2,17,6562,57,No
No,4809,3089,1429,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44,No
No,10634,7064,3176,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62,No
Yes,812,689,195,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52,No
Yes,1127,884,308,1310,766,11718,7398,450,1800,73,87,16.4,33,8871,76,No
No,2968,2297,1610,7368,1128,5834,2744,600,2000,79,83,17,24,6310,42,No
Yes,465,361,176,879,156,12580,4345,400,970,76,79,13.1,24,10889,74,No
No,6040,4577,1620,5640,266,4856,3416,400,1100,69,72,15.7,13,6601,76,No
Yes,11901,8492,2517,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46,No
No,5891,4931,1973,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41,No
No,10706,7219,2397,14826,1979,7799,3296,470,1750,73,78,17.3,11,6086,56,No
No,2729,2535,1257,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54,No
Yes,616,514,385,1115,60,9840,2820,450,822,59,59,14.8,20,6261,58,No
Yes,860,811,366,1040,52,9900,3075,300,1800,68,68,14.9,34,6357,68,No
Yes,12289,5200,1902,7450,45,16404,5520,759,1585,96,100,6.8,25,26385,92,Yes
Yes,1743,1625,626,1862,382,14134,5270,500,800,71,74,13.1,22,9209,63,No
Yes,379,324,107,500,311,9990,4900,400,600,44,47,12.1,26,4948,33,No
No,3041,2581,1173,6441,3982,9114,4030,400,650,88,90,19.7,13,6637,53,No
Yes,4778,2767,678,2587,120,19670,5820,575,1119,77,96,10.1,47,16593,83,No
Yes,2324,1319,370,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79,Yes
Yes,792,649,186,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67,Yes
Yes,2936,2342,669,2502,66,15990,4080,600,825,73,78,14.5,31,9979,83,No
No,11023,8298,3183,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64,No
Yes,2190,1700,458,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75,No
Yes,758,681,484,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50,No
Yes,776,765,351,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45,No
No,4522,3913,2181,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48,No
Yes,1496,1205,428,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87,No
Yes,910,773,450,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,65,No
Yes,2308,1336,295,1202,942,8530,3644,616,1576,56,64,14.9,25,7114,37,No
Yes,8256,3750,1522,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62,No
Yes,1603,1392,504,2580,302,13312,4488,600,1516,78,78,11,23,9431,83,No
Yes,940,668,385,1316,139,11925,3825,630,1926,48,87,12.3,12,9157,69,No
Yes,943,849,288,1041,35,14210,3994,450,1100,76,76,10.9,22,11216,42,No
No,944,774,440,2174,529,6360,2760,550,1498,77,77,15,5,6443,48,No
No,19315,10344,3450,28938,2025,10645,4060,512,2394,77,96,18.1,19,8992,63,No
Yes,3821,2037,680,2488,625,18200,6770,500,700,95,98,11.6,13,16185,66,Yes
No,701,501,458,959,457,2580,2624,500,900,48,100,20.1,24,4870,44,No
Yes,838,651,159,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48,No
Yes,1538,1259,468,1664,1042,11690,5062,600,1664,48,80,12.9,15,8028,68,No
Yes,692,576,174,597,83,10500,3860,600,940,58,64,11.6,19,8990,39,No
Yes,663,562,127,641,63,5640,3620,600,750,89,89,13.2,17,7309,31,No
Yes,404,400,169,797,100,6000,3000,500,500,48,57,13.4,14,5557,61,No
Yes,1133,630,220,750,30,17688,5900,650,850,100,100,10.4,11,14820,73,No
Yes,809,687,428,1889,217,10178,4190,800,750,71,71,16.1,19,7895,54,No
Yes,875,744,207,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66,No
Yes,1132,847,302,1379,214,16200,4200,436,2486,90,90,10.4,14,14329,62,Yes
No,2405,2234,1061,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,35,No
Yes,1082,832,302,1133,30,11859,3635,554,1429,80,85,13.4,42,8354,85,No
Yes,13218,2042,1153,4540,146,19900,5910,675,1575,91,96,8.4,54,28320,99,Yes
Yes,5139,3346,973,3717,1358,14400,6200,450,1100,66,74,18.4,35,8135,96,No
No,21804,18744,5874,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67,No
Yes,516,392,154,630,549,11020,4970,610,1900,73,75,14,36,9315,58,No
Yes,1025,707,297,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80,No
Yes,3712,2153,806,2677,714,12030,6140,1000,500,63,73,12,33,8847,86,No
No,5702,4894,1742,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62,No
No,2088,957,362,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47,No
Yes,1771,1325,306,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74,No
Yes,696,616,169,653,56,13970,6110,370,920,88,97,9.2,24,16358,68,No
Yes,1966,1436,327,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68,No
Yes,427,385,143,581,533,12700,5800,450,700,81,85,10.3,37,11758,84,No
Yes,4996,4165,936,4291,16,17475,5976,1230,1100,94,98,15.4,21,15605,70,Yes
Yes,2302,1831,391,1345,59,15200,4768,550,1500,90,96,10.8,47,13388,77,Yes
Yes,3586,2424,730,2748,1309,13250,5420,700,3100,84,92,12.3,23,11299,70,No
Yes,587,501,211,735,28,15200,4100,350,650,87,90,9.4,49,12472,64,No
Yes,484,386,141,590,1196,9870,4860,600,1100,59,59,12.2,19,6744,81,No
Yes,2227,1790,437,1460,239,13425,4425,450,1200,85,89,13,26,9405,72,No
Yes,935,858,345,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79,No
Yes,560,392,270,743,118,8734,3362,600,625,56,78,11.3,27,6422,68,No
Yes,3304,2804,679,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61,No
Yes,1777,1151,382,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90,No
Yes,434,321,141,624,269,10950,4600,550,950,79,82,12.9,30,9264,81,No
No,3820,1431,695,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51,No
No,48094,26330,4520,21401,3712,7410,4748,690,2009,90,95,19.5,19,10474,77,No
No,3366,1752,232,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57,No
No,5785,2690,499,4005,1886,7410,4748,690,2009,90,95,17.4,16,11878,58,No
Yes,2307,1896,509,1707,1889,11070,5780,400,600,71,73,14.8,16,7120,82,No
Yes,897,718,276,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70,No
Yes,2095,1553,514,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97,No
No,3971,3306,1921,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58,No
Yes,213,166,85,513,247,8670,3820,450,1000,43,78,12.5,4,7440,48,No
Yes,1046,824,284,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69,No
Yes,933,800,444,1691,72,12247,4081,500,600,76,85,12,38,9853,70,No
Yes,920,684,225,815,222,11200,4250,600,950,55,60,14.8,19,7360,67,No
Yes,833,682,217,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85,No
Yes,2519,2003,776,2473,1314,12750,6350,350,1690,84,90,17.4,13,8243,83,No
Yes,292,241,96,543,712,12200,4600,650,950,87,90,11.2,32,8680,76,No
Yes,3294,2855,956,4576,1140,11690,4730,800,6800,84,94,4.6,19,18367,67,No
Yes,888,734,393,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98,No
Yes,876,802,367,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78,No
Yes,150,130,88,341,768,10300,4130,500,1700,44,58,10.2,37,9678,75,No
Yes,1910,1380,463,1715,106,13030,5860,500,750,79,88,14.5,34,10190,84,No
Yes,2248,1673,745,2888,105,14350,3750,550,550,82,88,10,31,12502,83,No
Yes,1606,1413,530,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53,No
Yes,700,595,278,1035,182,10850,3936,500,900,62,64,12.3,31,8534,88,No
Yes,785,647,295,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55,No
Yes,489,384,120,700,45,10575,3952,400,620,46,24,13,9,8946,98,No
Yes,335,284,132,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60,No
No,4216,2290,736,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56,No
Yes,1680,1395,691,2959,402,8236,3700,569,1650,74,75,14.7,17,9533,61,No
No,9402,7020,2151,16407,5550,8384,5110,612,2400,87,93,19.5,7,7930,41,No
Yes,4019,2779,888,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100,No
Yes,1380,768,263,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83,Yes
Yes,1109,688,386,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55,No
Yes,584,413,131,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52,No
Yes,855,632,139,569,7,17238,7350,600,800,95,100,8.2,41,18372,73,Yes
Yes,1183,1016,411,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66,No
Yes,2115,1540,494,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89,No
